Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
556039,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-06-08 12:40:00,1.65,13001.0,United Kingdom
501853,21330,WOODLAND ANIMAL  WRITING SET ,1,2010-03-21 11:07:00,1.65,16782.0,United Kingdom
572704,20724,RED RETROSPOT CHARLOTTE BAG,39,2011-10-25 14:39:00,2.46,,United Kingdom
519024,21172,PARTY METAL SIGN ,1,2010-08-13 09:22:00,4.21,,United Kingdom
579832,23058,CHRISTMAS HANGING SNOWFLAKE,12,2011-11-30 15:58:00,0.79,17434.0,United Kingdom
536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 09:59:00,7.95,16250.0,United Kingdom
494013,20652,BLUE SPOTTY LUGGAGE TAG ,9,2010-01-11 09:32:00,0.87,,United Kingdom
581334,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,1,2011-12-08 12:07:00,0.39,17841.0,United Kingdom
489615,84854,GIRLY PINK TOOL SET,1,2009-12-01 14:56:00,8.65,,United Kingdom
526405,90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,2,2010-10-11 13:53:00,4.21,,United Kingdom
573137,22099,CARAVAN SQUARE TISSUE BOX,1,2011-10-27 17:15:00,2.46,,United Kingdom
503066,84050,PINK HEART SHAPE EGG FRYING PAN,12,2010-03-30 09:32:00,1.65,16570.0,United Kingdom
518076,22422,TOOTHPASTE TUBE PEN,6,2010-08-04 13:42:00,0.65,15456.0,United Kingdom
538349,22227,HANGING HEART MIRROR DECORATION ,6,2010-12-10 14:59:00,1.28,,United Kingdom
547569,21500,PINK POLKADOT WRAP ,25,2011-03-24 09:50:00,0.42,17491.0,United Kingdom
539955,22652,TRAVEL SEWING KIT,1,2010-12-23 12:13:00,4.21,,United Kingdom
581182,21128,GOLD FISHING GNOME,8,2011-12-07 15:56:00,1.95,12783.0,Portugal
513660,22636,CHILDS BREAKFAST SET CIRCUS PARADE,6,2010-06-28 10:30:00,8.5,17863.0,United Kingdom
571465,22246,MAGIC GARDEN FELT GARLAND ,1,2011-10-17 14:29:00,1.95,14830.0,United Kingdom
538507,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2010-12-12 13:26:00,4.95,15547.0,United Kingdom
560368,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-07-18 12:25:00,0.12,17841.0,United Kingdom
579301,23269,SET OF 2 CERAMIC CHRISTMAS TREES,1,2011-11-29 11:32:00,1.45,18118.0,United Kingdom
500356,21248,DOOR HANGER  MUM + DADS ROOM,1,2010-03-07 15:34:00,1.45,16984.0,United Kingdom
549240,48138,DOORMAT UNION FLAG,1,2011-04-07 11:37:00,7.95,15910.0,United Kingdom
508964,21244,BLUE  SPOTTY PLATE ,8,2010-05-19 11:37:00,1.69,15738.0,United Kingdom
509916,20749,ASSORTED COLOUR MINI CASES,1,2010-05-26 11:46:00,7.95,14606.0,United Kingdom
557746,22362,GLASS JAR PEACOCK BATH SALTS,1,2011-06-22 12:24:00,2.95,15059.0,United Kingdom
566287,22992,REVOLVER WOODEN RULER ,2,2011-09-11 15:11:00,1.95,17218.0,United Kingdom
516314,21238,RED SPOTTY CUP,8,2010-07-19 14:31:00,0.85,12826.0,United Kingdom
568221,23118,PARISIENNE JEWELLERY DRAWER ,2,2011-09-26 10:05:00,7.5,14911.0,EIRE
495176,47590A,BLUE HAPPY BIRTHDAY BUNTING,4,2010-01-21 13:21:00,5.45,13623.0,United Kingdom
576653,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,48,2011-11-16 10:45:00,2.55,14156.0,EIRE
576365,23517,EMBROIDERED RIBBON REEL REBECCA ,7,2011-11-14 17:55:00,6.95,,United Kingdom
503871,21535,RED RETROSPOT SMALL MILK JUG,1,2010-04-08 11:36:00,5.06,,United Kingdom
525456,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-10-05 14:29:00,5.95,17758.0,United Kingdom
533948,20716,PARTY FOOD SHOPPER BAG,1,2010-11-19 12:09:00,1.25,17346.0,United Kingdom
514163,22341,LOVE GARLAND PAINTED ZINC ,3,2010-06-30 15:34:00,1.65,16283.0,United Kingdom
578155,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,2011-11-23 11:32:00,3.75,12748.0,United Kingdom
511507,20712,JUMBO BAG WOODLAND ANIMALS,4,2010-06-08 15:24:00,4.21,,United Kingdom
